Amount_Requested,Application_Date,Loan_Title,Risk_Score,Debt-To-Income_Ratio,Zip_Code,State,Employment_Length,Policy_Code,RiskScoreMA50
10000.0,2007-10-09,erica_0529,427.0,0.8%,430xx,OH,2 years,0.0,491.69565217391306
25000.0,2007-10-09,garciar3,624.0,14.41%,925xx,CO,2 years,0.0,497.2083333333333
500.0,2007-10-09,austingal25,423.0,19.41%,787xx,TX,< 1 year,0.0,494.24
17500.0,2007-10-09,buckyboy,470.0,6.96%,644xx,MO,2 years,0.0,493.3076923076923
5000.0,2007-10-09,number1dad,0.0,0%,857xx,AZ,9 years,0.0,475.037037037037
25000.0,2007-10-09,sandy1940,515.0,19.01%,782xx,TX,4 years,0.0,476.4642857142857
9900.0,2007-10-09,drywall,659.0,6.36%,112xx,NY,10+ years,0.0,482.7586206896552
5000.0,2007-10-09,mcuyler,542.0,38.71%,315xx,GA,7 years,0.0,484.73333333333335
5000.0,2007-10-09,jtail001,578.0,21.28%,331xx,FL,< 1 year,0.0,487.741935483871
15000.0,2007-10-09,blue1962,573.0,16.34%,782xx,TX,1 year,0.0,490.40625
2425.0,2007-10-09,kay,502.0,15.8%,209xx,MD,1 year,0.0,490.75757575757575
25000.0,2007-10-09,Benz4themoney,696.0,36.82%,840xx,UT,< 1 year,0.0,496.79411764705884
6000.0,2007-10-09,Vernon,497.0,9.69%,800xx,CO,2 years,0.0,496.8
5000.0,2007-10-09,Amylu828,497.0,28.26%,322xx,FL,3 years,0.0,496.80555555555554
500.0,2007-10-09,cmortensen14,460.0,0.58%,982xx,WA,7 years,0.0,495.81081081081084
21000.0,2007-10-09,ct5000,621.0,22.5%,014xx,MA,5 years,0.0,499.10526315789474
1500.0,2007-10-09,stixfinance23,485.0,0%,327xx,FL,1 year,0.0,498.7435897435897
4000.0,2007-10-09,Danny6894,605.0,221.94%,347xx,FL,1 year,0.0,501.4
22000.0,2007-10-09,bizmandev,598.0,6.61%,730xx,OK,1 year,0.0,503.7560975609756
14000.0,2007-10-10,Help me breathe please,637.0,19.33%,967xx,HI,< 1 year,0.0,637.0
1000.0,2007-10-10,carlandcyndi,491.0,20.85%,370xx,TN,10+ years,0.0,564.0
500.0,2007-10-10,gotzs,607.0,40.29%,546xx,WI,1 year,0.0,578.3333333333334
3000.0,2007-10-10,KenKayGil,498.0,10.9%,305xx,GA,< 1 year,0.0,558.25
5000.0,2007-10-10,Randall Avenue,476.0,0.33%,104xx,NY,5 years,0.0,541.8
2000.0,2007-10-10,Jeremy0832,443.0,0%,259xx,WV,< 1 year,0.0,525.3333333333334
5000.0,2007-10-10,RPRESHA,390.0,25.2%,323xx,FL,10+ years,0.0,506.0
5000.0,2007-10-10,norebah,601.0,58.71%,224xx,VA,10+ years,0.0,517.875
15000.0,2007-10-10,TreyJ,675.0,14.61%,794xx,TX,7 years,0.0,535.3333333333334
10850.0,2007-10-10,Steve,571.0,44.75%,480xx,MI,9 years,0.0,538.9
9000.0,2007-10-10,kenny32268,652.0,13.41%,723xx,AR,4 years,0.0,549.1818181818181
5000.0,2007-10-10,boatdoc1963,470.0,35.94%,395xx,MS,5 years,0.0,542.5833333333334
10000.0,2007-10-10,terryb,478.0,31.97%,351xx,AL,7 years,0.0,537.6153846153846
3500.0,2007-10-10,JMCNUTT,599.0,69.16%,769xx,TX,3 years,0.0,542.0
25000.0,2007-10-10,JSOTO,562.0,12.6%,769xx,TX,< 1 year,0.0,543.3333333333334
5000.0,2007-10-10,HeidiJo,513.0,14.72%,970xx,OR,4 years,0.0,541.4375
4000.0,2007-10-10,kevenmcdonald,445.0,4.8%,395xx,MS,10+ years,0.0,535.7647058823529
9000.0,2007-10-10,brandygirl,641.0,6.99%,366xx,AL,< 1 year,0.0,541.6111111111111
25000.0,2007-10-10,maral,413.0,7.71%,572xx,MT,< 1 year,0.0,534.8421052631579
6000.0,2007-10-10,pipatatl,490.0,0%,330xx,FL,< 1 year,0.0,532.6
4000.0,2007-10-10,Biggah,623.0,24.26%,481xx,MN,9 years,0.0,536.9047619047619
5000.0,2007-10-10,Please Help,427.0,23.68%,352xx,AL,9 years,0.0,531.9090909090909
17000.0,2007-10-10,Tsmith,723.0,53.3%,765xx,TX,3 years,0.0,540.2173913043479
500.0,2007-10-10,tide88,558.0,1.52%,341xx,FL,8 years,0.0,540.9583333333334
9000.0,2007-10-10,awinst2,0.0,2%,300xx,GA,< 1 year,0.0,519.32
7000.0,2007-10-10,SCANADY,516.0,15.53%,322xx,FL,4 years,0.0,519.1923076923077
2500.0,2007-10-10,Kicked Twice,461.0,13.18%,374xx,TN,6 years,0.0,517.0370370370371
5000.0,2007-10-10,richiee,441.0,4.18%,843xx,UT,10+ years,0.0,514.3214285714286
3000.0,2007-10-10,denstrip,629.0,8.4%,727xx,AR,< 1 year,0.0,518.2758620689655
25000.0,2007-10-10,payoffdebt2010,681.0,73.6%,030xx,NH,8 years,0.0,523.7
4000.0,2007-10-10,pruss21,579.0,0%,060xx,CT,4 years,0.0,525.483870967742
1000.0,2007-10-10,Coral1,424.0,0%,802xx,CO,< 1 year,0.0,522.3125
5000.0,2007-10-10,gageandparker,461.0,0%,279xx,NC,7 years,0.0,520.4545454545455
5000.0,2007-10-11,pamfry,618.0,27.21%,667xx,KS,2 years,0.0,618.0
1000.0,2007-10-11,colivitowilliams05,600.0,5.54%,326xx,FL,1 year,0.0,609.0
500.0,2007-10-11,businessdragon,0.0,0%,440xx,OH,< 1 year,0.0,406.0
2500.0,2007-10-11,redrocket,591.0,21.79%,207xx,MD,2 years,0.0,452.25
2500.0,2007-10-11,Franchise,531.0,3.13%,018xx,MA,1 year,0.0,468.0
25000.0,2007-10-11,rwray,670.0,22.1%,680xx,NE,10+ years,0.0,501.6666666666667
2200.0,2007-10-11,Catlover,484.0,42.36%,530xx,WI,2 years,0.0,499.14285714285717
6000.0,2007-10-11,tockey,595.0,9.22%,681xx,NE,10+ years,0.0,511.125
4000.0,2007-10-11,jessica234,465.0,13.8%,070xx,NJ,1 year,0.0,506.0
12500.0,2007-10-11,JJT123,482.0,27.64%,551xx,MN,1 year,0.0,503.6
5000.0,2007-10-11,samarasl,575.0,16.46%,530xx,WI,< 1 year,0.0,510.09090909090907
1500.0,2007-10-11,kbeard26,570.0,6%,302xx,GA,2 years,0.0,515.0833333333334
12000.0,2007-10-11,kyle5192,484.0,17.83%,240xx,VA,2 years,0.0,512.6923076923077
5000.0,2007-10-11,mrwundeful,562.0,22.39%,809xx,CO,10+ years,0.0,516.2142857142857
6000.0,2007-10-11,Vince,534.0,19.69%,805xx,CO,3 years,0.0,517.4
8000.0,2007-10-11,terry,455.0,26.73%,631xx,MO,10+ years,0.0,513.5
2200.0,2007-10-11,mrcountryclub,610.0,11.66%,109xx,NY,2 years,0.0,519.1764705882352
2500.0,2007-10-11,tahoetiara,528.0,6%,980xx,WA,< 1 year,0.0,519.6666666666666
4000.0,2007-10-11,ellis,627.0,5.66%,275xx,NC,8 years,0.0,525.3157894736842
4000.0,2007-10-11,mikes989,484.0,11.67%,782xx,TX,4 years,0.0,523.25
2000.0,2007-10-11,super99999ooo,566.0,1.72%,921xx,CA,6 years,0.0,525.2857142857143
5000.0,2007-10-11,GEE,433.0,28.36%,606xx,IN,10+ years,0.0,521.0909090909091
5000.0,2007-10-11,Land in Buckfield,685.0,1.76%,042xx,ME,5 years,0.0,528.2173913043479
25000.0,2007-10-11,WPAGAN,560.0,13.5%,104xx,NY,2 years,0.0,529.5416666666666
750.0,2007-10-11,Paradiseacre,529.0,42.04%,747xx,OK,7 years,0.0,529.52
1000.0,2007-10-11,DIMPLES,498.0,3.81%,100xx,NY,1 year,0.0,528.3076923076923
20000.0,2007-10-11,freeman727,653.0,10.95%,115xx,NY,< 1 year,0.0,532.925925925926
10000.0,2007-10-11,orioles,718.0,764.83%,212xx,MD,10+ years,0.0,539.5357142857143
2000.0,2007-10-11,Bill Help,648.0,6.42%,857xx,AZ,< 1 year,0.0,543.2758620689655
6000.0,2007-10-11,Mom_In_2004and5,503.0,2.43%,441xx,OH,9 years,0.0,541.9333333333333
25000.0,2007-10-11,mom2three,705.0,5.67%,781xx,TX,< 1 year,0.0,547.1935483870968
25000.0,2007-10-11,vmrfurious,703.0,40.57%,781xx,TX,7 years,0.0,552.0625
5000.0,2007-10-11,agonzo,427.0,3%,787xx,TX,2 years,0.0,548.2727272727273
5500.0,2007-10-12,baebaekidz,569.0,14.76%,454xx,OH,< 1 year,0.0,569.0
1000.0,2007-10-12,richardpoehlein,541.0,29.84%,633xx,MO,6 years,0.0,555.0
12000.0,2007-10-12,KATIE,664.0,66.76%,320xx,FL,< 1 year,0.0,591.3333333333334
15000.0,2007-10-12,leonard21,556.0,19.2%,330xx,FL,5 years,0.0,582.5
10000.0,2007-10-12,nenadiana12,565.0,17.32%,104xx,NY,5 years,0.0,579.0
1000.0,2007-10-12,Jgirl,454.0,0%,804xx,CO,1 year,0.0,558.1666666666666
25000.0,2007-10-12,fmmaster,572.0,4.71%,210xx,MD,10+ years,0.0,560.1428571428571
25000.0,2007-10-12,reneec,559.0,23.43%,112xx,NY,3 years,0.0,560.0
1000.0,2007-10-12,Sasha1,521.0,12%,331xx,FL,1 year,0.0,555.6666666666666
5000.0,2007-10-12,wizeup36,560.0,13.67%,282xx,NC,10+ years,0.0,556.1
5000.0,2007-10-12,Flyone,500.0,10.8%,801xx,CO,1 year,0.0,551.0
8275.0,2007-10-12,tnc22,695.0,36.18%,272xx,NC,< 1 year,0.0,563.0
10000.0,2007-10-12,whodini,"",10.79%,336xx,FL,2 years,0.0,563.0
25000.0,2007-10-12,"Pay Lending Club members, not Chase",627.0,21.98%,946xx,CA,4 years,0.0,567.9230769230769
1500.0,2007-10-12,pm1010,471.0,15.31%,563xx,MN,1 year,0.0,561.0
3000.0,2007-10-12,Nordicgirl,590.0,19.22%,995xx,AK,3 years,0.0,562.9333333333333
5000.0,2007-10-12,grams6939,474.0,19.92%,468xx,IN,10+ years,0.0,557.375
500.0,2007-10-12,tbthstnly,510.0,60.67%,386xx,MS,7 years,0.0,554.5882352941177
500.0,2007-10-12,bubba,552.0,10.34%,386xx,MS,2 years,0.0,554.4444444444445
3000.0,2007-10-12,Dottie,485.0,14.4%,041xx,ME,6 years,0.0,550.7894736842105
6000.0,2007-10-12,BORROWING A GREAT RATE,675.0,46.2%,333xx,FL,5 years,0.0,557.0
5000.0,2007-10-12,Bignell,590.0,1.9%,212xx,MD,7 years,0.0,558.5714285714286
1000.0,2007-10-12,miaksoy,453.0,14.68%,980xx,WA,2 years,0.0,553.7727272727273
20000.0,2007-10-12,Vegas Girl,702.0,49.71%,454xx,OH,10+ years,0.0,560.2173913043479
4000.0,2007-10-12,mapcyn,537.0,10.79%,787xx,TX,5 years,0.0,559.25
25000.0,2007-10-12,smith97,687.0,21.81%,440xx,OH,2 years,0.0,564.36
5000.0,2007-10-12,mars7578,625.0,19.54%,330xx,FL,10+ years,0.0,566.6923076923077
7000.0,2007-10-12,hi i have about 7000 indebt from cedit cards to auto to medical. i just want to make a better life for me and my family this will not only increase my fico score but be easier to make one payment each month and give me some extra money for my family each month im not looking for anything big but this will help thanks for reading my loan request Randy,582.0,0.45%,551xx,MN,< 1 year,0.0,567.2592592592592
25000.0,2007-10-12,maggielou,500.0,6.26%,391xx,MS,2 years,0.0,564.8571428571429
1500.0,2007-10-12,kmofield,556.0,15.04%,474xx,IN,2 years,0.0,564.551724137931
2500.0,2007-10-13,dpadma,440.0,26.7%,767xx,TX,5 years,0.0,440.0
15000.0,2007-10-13,jeff2037,655.0,14.85%,478xx,IN,10+ years,0.0,547.5
6000.0,2007-10-13,page34,409.0,13.4%,370xx,TN,2 years,0.0,501.3333333333333
5000.0,2007-10-13,Debbie,533.0,21.46%,199xx,DE,5 years,0.0,509.25
3000.0,2007-10-13,DTRAIN1974,638.0,11.57%,336xx,FL,2 years,0.0,535.0
5000.0,2007-10-13,lgillum,761.0,0%,631xx,MO,< 1 year,0.0,572.6666666666666
8275.0,2007-10-13,tnc24,530.0,3.98%,272xx,NC,10+ years,0.0,566.5714285714286
25000.0,2007-10-13,boletti,629.0,50.88%,466xx,IN,1 year,0.0,574.375
8275.0,2007-10-13,tnc25,550.0,3.98%,272xx,NC,10+ years,0.0,571.6666666666666
2000.0,2007-10-13,sshotwell,500.0,29.5%,323xx,FL,1 year,0.0,564.5
15000.0,2007-10-13,A new Day,639.0,16.84%,774xx,TX,10+ years,0.0,571.2727272727273
5000.0,2007-10-13,AdamKirk,522.0,24.12%,322xx,FL,< 1 year,0.0,567.1666666666666
5000.0,2007-10-13,specialk,451.0,3.71%,180xx,PA,1 year,0.0,558.2307692307693
575.0,2007-10-13,bhawkins1,482.0,89.43%,350xx,AL,2 years,0.0,552.7857142857143
5275.0,2007-10-13,SherryHudson,744.0,34.27%,270xx,NC,8 years,0.0,565.5333333333333
7500.0,2007-10-13,night angel,452.0,9.84%,471xx,IN,1 year,0.0,558.4375
2500.0,2007-10-13,kely267,529.0,0%,212xx,MD,8 years,0.0,556.7058823529412
5000.0,2007-10-13,Onceinthelandof2,585.0,9.42%,067xx,CT,10+ years,0.0,558.2777777777778
7000.0,2007-10-13,cjbkmg,486.0,0%,558xx,MN,4 years,0.0,554.4736842105264
6075.0,2007-10-13,lost valley 3383,550.0,0%,630xx,MO,< 1 year,0.0,554.25
5275.0,2007-10-13,tnc28,643.0,32.17%,280xx,NC,1 year,0.0,558.4761904761905
10000.0,2007-10-13,dtng,598.0,12.58%,982xx,WA,2 years,0.0,560.2727272727273
2625.0,2007-10-13,lost valley 7358,631.0,38.19%,630xx,MO,3 years,0.0,563.3478260869565
2625.0,2007-10-13,lost valley 2562,631.0,1.4%,630xx,MO,1 year,0.0,566.1666666666666
10000.0,2007-10-13,wanda,515.0,13.12%,361xx,AL,10+ years,0.0,564.12
4650.0,2007-10-13,lost valley 5425,477.0,60.23%,631xx,MO,4 years,0.0,560.7692307692307
1500.0,2007-10-13,austintumbleweed,628.0,15.69%,786xx,TX,6 years,0.0,563.2592592592592
10000.0,2007-10-13,Unbelie631,535.0,16.64%,117xx,NY,< 1 year,0.0,562.25
5000.0,2007-10-13,mkbm98,554.0,1.36%,628xx,IL,1 year,0.0,561.9655172413793
7500.0,2007-10-13,webuyhosts,677.0,9.84%,991xx,WA,6 years,0.0,565.8
10000.0,2007-10-13,vila valachi,430.0,9.3%,104xx,NY,5 years,0.0,561.4193548387096
5000.0,2007-10-14,aimeelynn25,512.0,6.56%,640xx,MO,5 years,0.0,512.0
800.0,2007-10-14,siera,692.0,39.8%,322xx,FL,3 years,0.0,602.0
7000.0,2007-10-14,twiztidm16,537.0,0.96%,331xx,FL,10+ years,0.0,580.3333333333334
6000.0,2007-10-14,yecnors,668.0,71.31%,806xx,CO,< 1 year,0.0,602.25
15000.0,2007-10-14,julio_lara,0.0,240%,315xx,GA,< 1 year,0.0,481.8
8000.0,2007-10-14,TOMCAT,507.0,23.17%,344xx,FL,10+ years,0.0,486.0
8500.0,2007-10-14,FATHER,677.0,5.77%,070xx,NJ,5 years,0.0,513.2857142857143
6200.0,2007-10-14,scottbls,692.0,3.86%,025xx,MA,< 1 year,0.0,535.625
4000.0,2007-10-14,prettygirl,565.0,65.23%,708xx,LA,10+ years,0.0,538.8888888888889
3275.0,2007-10-14,lost valley 4713,401.0,10.62%,630xx,MO,< 1 year,0.0,525.1
1500.0,2007-10-14,Clinton,500.0,42.43%,805xx,CO,1 year,0.0,522.8181818181819
10000.0,2007-10-14,kim,436.0,21.51%,631xx,MO,< 1 year,0.0,515.5833333333334
15000.0,2007-10-14,Carla,502.0,32.8%,300xx,GA,7 years,0.0,514.5384615384615
10000.0,2007-10-14,specialkryse,439.0,6%,451xx,OH,< 1 year,0.0,509.14285714285717
25000.0,2007-10-14,roth1975,730.0,7.54%,440xx,OH,3 years,0.0,523.8666666666667
1500.0,2007-10-14,sweetbee,481.0,2.04%,281xx,NC,< 1 year,0.0,521.1875
3725.0,2007-10-14,lost valley 9148,503.0,25.97%,630xx,MO,< 1 year,0.0,520.1176470588235
3725.0,2007-10-14,lost valley 5631,582.0,13.94%,630xx,MO,< 1 year,0.0,523.5555555555555
7500.0,2007-10-14,gemini20164,534.0,6.32%,201xx,VA,8 years,0.0,524.1052631578947
2000.0,2007-10-14,lilmar,459.0,39.7%,786xx,TX,3 years,0.0,520.85
30000.0,2007-10-14,buddymond,691.0,43.24%,754xx,TX,10+ years,0.0,528.952380952381
9000.0,2007-10-14,nkbahrman,654.0,1.11%,322xx,FL,< 1 year,0.0,534.6363636363636
3200.0,2007-10-14,Christian1180,515.0,7.47%,442xx,OH,10+ years,0.0,533.7826086956521
10000.0,2007-10-14,DEQUEEN,0.0,0%,303xx,GA,2 years,0.0,511.5416666666667
1700.0,2007-10-15,dwayneblack,511.0,41.98%,216xx,MD,10+ years,0.0,511.0
15000.0,2007-10-15,csexton,444.0,16.24%,138xx,NY,8 years,0.0,477.5
5000.0,2007-10-15,codtay,506.0,19.53%,024xx,MA,1 year,0.0,487.0
5000.0,2007-10-15,tayleeb,464.0,6.37%,015xx,MA,< 1 year,0.0,481.25
2200.0,2007-10-15,Whyte,631.0,2.33%,344xx,FL,< 1 year,0.0,511.2
5000.0,2007-10-15,pinkgator,652.0,70.32%,347xx,FL,< 1 year,0.0,534.6666666666666
5000.0,2007-10-15,gdpjr55,616.0,29.85%,335xx,FL,< 1 year,0.0,546.2857142857143
4000.0,2007-10-15,mr.branch1,674.0,36.9%,232xx,VA,< 1 year,0.0,562.25
7000.0,2007-10-15,chapa,497.0,6.35%,372xx,TN,1 year,0.0,555.0
5000.0,2007-10-15,Budda324,622.0,19.09%,105xx,NY,1 year,0.0,561.7
2000.0,2007-10-15,nichele,628.0,180.48%,328xx,FL,2 years,0.0,567.7272727272727
10000.0,2007-10-15,PHILPURO,598.0,261%,782xx,TX,3 years,0.0,570.25
25000.0,2007-10-15,growbiz,686.0,59.17%,453xx,OH,4 years,0.0,579.1538461538462
7500.0,2007-10-15,jrich,605.0,2.79%,395xx,MS,6 years,0.0,581.0
3800.0,2007-10-15,mlane,570.0,13.37%,750xx,TX,7 years,0.0,580.2666666666667
10000.0,2007-10-15,Sandra,577.0,17.45%,705xx,LA,1 year,0.0,580.0625
5000.0,2007-10-15,Mrrick,638.0,36.33%,125xx,NY,1 year,0.0,583.4705882352941
25000.0,2007-10-15,Bern,717.0,56.89%,339xx,FL,< 1 year,0.0,590.8888888888889
12000.0,2007-10-15,thathandyroger,539.0,14.76%,207xx,MD,< 1 year,0.0,588.1578947368421
1000.0,2007-10-15,Athena811,574.0,0%,043xx,ME,3 years,0.0,587.45
25000.0,2007-10-15,SECURTY,501.0,40.1%,275xx,NC,< 1 year,0.0,583.3333333333334
2500.0,2007-10-15,ATV,672.0,6.08%,105xx,NY,< 1 year,0.0,587.3636363636364
5000.0,2007-10-15,ejtaylor,557.0,0.56%,336xx,FL,5 years,0.0,586.0434782608696
10000.0,2007-10-15,Renee,595.0,12.33%,800xx,CO,2 years,0.0,586.4166666666666
7500.0,2007-10-15,mbedard,578.0,28.25%,347xx,FL,< 1 year,0.0,586.08
5000.0,2007-10-15,jdanderson,510.0,14.93%,023xx,MA,4 years,0.0,583.1538461538462
1000.0,2007-10-15,nikki9381,502.0,14.6%,443xx,OH,< 1 year,0.0,580.1481481481482
10000.0,2007-10-15,hardcorevixen101,492.0,15.36%,334xx,FL,< 1 year,0.0,577.0
5000.0,2007-10-15,butterflywonder,491.0,9.46%,800xx,CO,3 years,0.0,574.0344827586207
25000.0,2007-10-15,Bethany,676.0,21.15%,381xx,TN,10+ years,0.0,577.4333333333333
25000.0,2007-10-15,puls,629.0,12.88%,180xx,OH,2 years,0.0,579.0967741935484
7500.0,2007-10-15,corkyh,560.0,49.93%,666xx,KS,< 1 year,0.0,578.5
600.0,2007-10-15,Phillips31,444.0,62.88%,230xx,VA,2 years,0.0,574.4242424242424
7500.0,2007-10-15,dakotaaxis,505.0,17.02%,023xx,MA,< 1 year,0.0,572.3823529411765
4000.0,2007-10-15,headhoh,589.0,19.54%,640xx,MT,4 years,0.0,572.8571428571429
800.0,2007-10-15,joito74,558.0,7.38%,330xx,FL,10+ years,0.0,572.4444444444445
3000.0,2007-10-15,sctiger,581.0,28.48%,296xx,SC,4 years,0.0,572.6756756756756
2500.0,2007-10-15,Ms. kaysha,472.0,12.24%,302xx,GA,10+ years,0.0,570.0263157894736
5000.0,2007-10-15,CRodney,480.0,2526.77%,061xx,CT,5 years,0.0,567.7179487179487
15000.0,2007-10-15,LOVETOBAKE,647.0,15.55%,434xx,OH,2 years,0.0,569.7
15000.0,2007-10-15,nickdash1,501.0,37.88%,344xx,FL,10+ years,0.0,568.0243902439024
2500.0,2007-10-15,easy,641.0,20.69%,331xx,FL,10+ years,0.0,569.7619047619048
25000.0,2007-10-15,roger,607.0,25.83%,143xx,NY,10+ years,0.0,570.6279069767442
25000.0,2007-10-15,littlehead7,657.0,62.07%,300xx,GA,1 year,0.0,572.5909090909091
12000.0,2007-10-15,new2u_sd,572.0,18.7%,921xx,AZ,< 1 year,0.0,572.5777777777778
3000.0,2007-10-15,deafton,501.0,22.47%,750xx,TX,1 year,0.0,571.0217391304348
15000.0,2007-10-15,bellal2,723.0,1.94%,232xx,VA,< 1 year,0.0,574.2553191489362
7500.0,2007-10-15,mgulla78,661.0,36.8%,134xx,NY,7 years,0.0,576.0625
500.0,2007-10-15,Tjoecks25,500.0,4.52%,532xx,WI,2 years,0.0,574.5102040816327
4000.0,2007-10-15,destind,0.0,0%,325xx,FL,< 1 year,0.0,563.02
25000.0,2007-10-16,SimpleGirl,507.0,32.59%,770xx,TX,10+ years,0.0,507.0
3500.0,2007-10-16,jenjen30,481.0,16.11%,435xx,OH,3 years,0.0,494.0
10000.0,2007-10-16,D_man,539.0,17.33%,672xx,KS,2 years,0.0,509.0
5000.0,2007-10-16,scslinkard,524.0,18.16%,284xx,NC,1 year,0.0,512.75
2000.0,2007-10-16,mr3rd,0.0,102.67%,705xx,LA,1 year,0.0,410.2
25000.0,2007-10-16,Goretexas,699.0,22.92%,750xx,TX,8 years,0.0,458.3333333333333
2500.0,2007-10-16,purplesue,491.0,8.1%,741xx,OK,2 years,0.0,463.0
2500.0,2007-10-16,TraceyB1978,482.0,42.66%,134xx,NY,5 years,0.0,465.375
3000.0,2007-10-16,jamchris,555.0,5.2%,112xx,NY,10+ years,0.0,475.3333333333333
5000.0,2007-10-16,Keith,616.0,4.78%,774xx,TX,< 1 year,0.0,489.4
4500.0,2007-10-16,lmedina44,479.0,38.09%,841xx,UT,1 year,0.0,488.45454545454544
500.0,2007-10-16,MJC,437.0,10.26%,802xx,CO,< 1 year,0.0,484.1666666666667
15000.0,2007-10-16,hesss64,610.0,20.45%,310xx,GA,< 1 year,0.0,493.84615384615387
2500.0,2007-10-16,Likopass,540.0,13.47%,462xx,IN,1 year,0.0,497.14285714285717
3800.0,2007-10-16,jaymoney58,555.0,21.33%,308xx,GA,1 year,0.0,501.0
20000.0,2007-10-16,billyspeedman,682.0,23.52%,656xx,MO,2 years,0.0,512.3125
15000.0,2007-10-16,rodban,589.0,18.72%,282xx,NC,< 1 year,0.0,516.8235294117648
25000.0,2007-10-16,abakatone,468.0,5.87%,115xx,NY,1 year,0.0,514.1111111111111
15500.0,2007-10-16,downwithdebt,666.0,14.03%,070xx,NJ,< 1 year,0.0,522.1052631578947
5000.0,2007-10-16,lilrritter,640.0,11.86%,640xx,MO,< 1 year,0.0,528.0
15000.0,2007-10-16,Addi,501.0,30.76%,420xx,KY,< 1 year,0.0,526.7142857142857
15000.0,2007-10-16,sunflower0416,549.0,15.79%,986xx,WA,4 years,0.0,527.7272727272727
500.0,2007-10-16,jaywill1911,554.0,2.25%,282xx,NC,1 year,0.0,528.8695652173913
2600.0,2007-10-16,JAM825,571.0,19.95%,452xx,OH,3 years,0.0,530.625
20000.0,2007-10-16,Radar Luv,724.0,37.14%,301xx,GA,8 years,0.0,538.36
5000.0,2007-10-16,laynebody90,426.0,73.02%,809xx,CO,1 year,0.0,534.0384615384615
5000.0,2007-10-16,otsnet,502.0,0%,760xx,TX,4 years,0.0,532.8518518518518
15000.0,2007-10-16,peaceomind,509.0,4.1%,238xx,VA,10+ years,0.0,532.0
17000.0,2007-10-16,JAH4,493.0,0%,774xx,TX,< 1 year,0.0,530.6551724137931
1000.0,2007-10-16,entcwilliams,531.0,13.07%,300xx,GA,2 years,0.0,530.6666666666666
3200.0,2007-10-16,Towne Village Drive,488.0,0%,276xx,NC,4 years,0.0,529.2903225806451
8000.0,2007-10-16,apple,512.0,44.67%,142xx,NY,1 year,0.0,528.75
500.0,2007-10-16,jennywren623,498.0,0%,530xx,WI,6 years,0.0,527.8181818181819
4000.0,2007-10-16,swededread,534.0,2.84%,108xx,NY,< 1 year,0.0,528.0
15000.0,2007-10-16,jw63,592.0,10.47%,402xx,KY,2 years,0.0,529.8285714285714
500.0,2007-10-16,taggerman,416.0,1.02%,800xx,CO,7 years,0.0,526.6666666666666
25000.0,2007-10-16,bizconsultant,502.0,5.32%,597xx,MT,3 years,0.0,526.0
15000.0,2007-10-16,chr1z,637.0,30.46%,300xx,GA,9 years,0.0,528.921052631579
15000.0,2007-10-16,sharks2926,504.0,4.79%,080xx,NJ,10+ years,0.0,528.2820512820513
2500.0,2007-10-16,chrisdawoo,488.0,1.76%,120xx,NY,10+ years,0.0,527.275
5000.0,2007-10-16,digba1,593.0,20.87%,303xx,GA,< 1 year,0.0,528.8780487804878
10000.0,2007-10-16,pvtjohndoe,622.0,5.22%,980xx,WA,3 years,0.0,531.0952380952381
6000.0,2007-10-16,Mastermode,545.0,16.4%,331xx,FL,< 1 year,0.0,531.4186046511628
9000.0,2007-10-17,richardb,530.0,40.05%,329xx,FL,2 years,0.0,530.0
1700.0,2007-10-17,rosalee29,457.0,0%,173xx,NY,6 years,0.0,493.5
10000.0,2007-10-17,mich,473.0,39.23%,211xx,MD,< 1 year,0.0,486.6666666666667
3000.0,2007-10-17,marge1250,605.0,2.31%,103xx,NY,1 year,0.0,516.25
1000.0,2007-10-17,charliegirl,444.0,10.43%,063xx,CT,2 years,0.0,501.8
6000.0,2007-10-17,carace,528.0,1.17%,019xx,MA,< 1 year,0.0,506.1666666666667
3500.0,2007-10-17,joshril27,569.0,14.9%,791xx,TX,1 year,0.0,515.1428571428571
10000.0,2007-10-17,please go with the flo,474.0,14.52%,070xx,NJ,< 1 year,0.0,510.0
10000.0,2007-10-17,home,494.0,48.03%,853xx,AZ,10+ years,0.0,508.22222222222223
12000.0,2007-10-17,dwfox,526.0,20.18%,479xx,IN,2 years,0.0,510.0
2000.0,2007-10-17,AMW01,445.0,5.8%,320xx,FL,< 1 year,0.0,504.09090909090907
1500.0,2007-10-17,airforceflyguy,455.0,49.97%,325xx,FL,8 years,0.0,500.0
2500.0,2007-10-17,mybabyshubu,614.0,12.23%,365xx,AL,< 1 year,0.0,508.7692307692308
5000.0,2007-10-17,michele,678.0,271.2%,126xx,NY,3 years,0.0,520.8571428571429
25000.0,2007-10-17,rfelps,657.0,10.21%,212xx,MD,8 years,0.0,529.9333333333333
2000.0,2007-10-17,peanut 56,561.0,12.43%,544xx,WI,8 years,0.0,531.875
10000.0,2007-10-17,drew1068,516.0,12.61%,074xx,NJ,10+ years,0.0,530.9411764705883
3000.0,2007-10-17,sbecker67,550.0,18.57%,800xx,CO,1 year,0.0,532.0
25000.0,2007-10-17,Ins Mike,614.0,44.64%,826xx,WY,2 years,0.0,536.3157894736842
25000.0,2007-10-17,Helping Hands,661.0,5.08%,012xx,MA,3 years,0.0,542.55
15000.0,2007-10-17,brendakeen,426.0,0%,945xx,OH,< 1 year,0.0,537.0
